,Borough,School_Num,School_Year,Indicator_1.1,Indicator_1.2,Indicator_2.2,Indicator_3.4,Indicator_4.2
305,Q,214,2006-07,4.0,3.0,4.0,4.0,4.0
306,X,098,2006-07,3.0,3.0,3.0,3.0,3.0
307,X,101,2006-07,4.0,3.0,3.0,4.0,4.0
308,X,102,2006-07,3.0,3.0,1.0,4.0,3.0
309,X,119,2006-07,4.0,4.0,4.0,4.0,4.0
310,X,267,2006-07,4.0,4.0,4.0,4.0,4.0
311,Q,178,2006-07,3.0,3.0,1.0,4.0,4.0
312,Q,182,2006-07,3.0,3.0,1.0,4.0,3.0
313,Q,193,2006-07,4.0,3.0,3.0,3.0,3.0
314,X,158,2006-07,3.0,3.0,1.0,3.0,3.0
315,X,190,2006-07,3.0,3.0,3.0,3.0,3.0
316,X,195,2006-07,4.0,3.0,3.0,3.0,4.0
317,Q,020,2006-07,4.0,4.0,3.0,4.0,3.0
318,Q,219,2006-07,4.0,4.0,4.0,4.0,4.0
319,X,544,2006-07,3.0,3.0,3.0,4.0,3.0
320,Q,133,2006-07,4.0,3.0,4.0,3.0,3.0
321,Q,139,2006-07,4.0,4.0,4.0,3.0,3.0
322,Q,154,2006-07,4.0,3.0,4.0,4.0,4.0
323,Q,169,2006-07,3.0,3.0,3.0,3.0,4.0
324,Q,205,2006-07,4.0,3.0,3.0,4.0,4.0
325,Q,216,2006-07,4.0,3.0,4.0,4.0,3.0
326,Q,221,2006-07,4.0,3.0,4.0,3.0,3.0
327,Q,237,2006-07,4.0,3.0,3.0,4.0,4.0
328,X,130,2006-07,4.0,3.0,3.0,4.0,4.0
329,Q,191,2006-07,4.0,4.0,3.0,3.0,4.0
330,Q,420,2006-07,3.0,3.0,3.0,3.0,3.0
331,Q,030,2006-07,4.0,3.0,3.0,3.0,4.0
332,Q,031,2006-07,4.0,4.0,4.0,4.0,3.0
333,Q,074,2006-07,4.0,3.0,4.0,4.0,4.0
334,Q,101,2006-07,4.0,3.0,4.0,4.0,3.0
335,Q,118,2006-07,4.0,4.0,4.0,4.0,4.0
336,Q,158,2006-07,4.0,4.0,4.0,4.0,4.0
337,Q,174,2006-07,4.0,4.0,4.0,3.0,4.0
338,Q,181,2006-07,3.0,3.0,3.0,3.0,3.0
339,Q,213,2006-07,4.0,4.0,4.0,4.0,4.0
340,Q,415,2006-07,4.0,4.0,4.0,3.0,3.0
341,Q,440,2006-07,3.0,1.0,1.0,3.0,1.0
342,Q,498,2006-07,3.0,3.0,3.0,3.0,4.0
343,Q,680,2006-07,3.0,3.0,1.0,3.0,4.0
344,Q,025,2006-07,4.0,4.0,4.0,4.0,4.0
345,Q,041,2006-07,4.0,4.0,4.0,4.0,3.0
346,Q,059,2006-07,1.0,1.0,1.0,1.0,3.0
347,Q,116,2006-07,4.0,3.0,3.0,3.0,4.0
348,Q,160,2006-07,4.0,4.0,3.0,3.0,3.0
349,Q,172,2006-07,3.0,3.0,3.0,3.0,3.0
350,Q,173,2006-07,4.0,4.0,4.0,4.0,4.0
351,Q,175,2006-07,4.0,4.0,4.0,4.0,4.0
352,Q,190,2006-07,3.0,3.0,1.0,3.0,3.0
353,Q,203,2006-07,4.0,4.0,4.0,4.0,4.0
354,Q,208,2006-07,4.0,4.0,4.0,4.0,3.0
355,Q,470,2006-07,3.0,3.0,3.0,3.0,3.0
356,Q,496,2006-07,3.0,3.0,3.0,3.0,4.0
357,Q,525,2006-07,4.0,4.0,4.0,4.0,4.0
358,Q,038,2006-07,3.0,3.0,3.0,3.0,4.0
359,Q,050,2006-07,1.0,1.0,1.0,3.0,3.0
360,Q,054,2006-07,3.0,1.0,1.0,3.0,3.0
361,Q,095,2006-07,4.0,4.0,4.0,4.0,4.0
362,Q,134,2006-07,3.0,3.0,3.0,3.0,3.0
363,Q,140,2006-07,4.0,4.0,4.0,3.0,3.0
364,Q,185,2006-07,4.0,4.0,4.0,4.0,4.0
365,Q,194,2006-07,4.0,4.0,3.0,4.0,4.0
366,Q,217,2006-07,4.0,4.0,4.0,4.0,4.0
367,Q,251,2006-07,1.0,3.0,1.0,1.0,1.0
368,Q,494,2006-07,3.0,3.0,3.0,3.0,4.0
369,Q,040,2006-07,3.0,1.0,3.0,3.0,1.0
370,Q,046,2006-07,4.0,4.0,4.0,4.0,4.0
371,Q,086,2006-07,3.0,3.0,1.0,3.0,3.0
372,Q,131,2006-07,4.0,4.0,4.0,4.0,4.0
373,Q,157,2006-07,4.0,4.0,3.0,4.0,3.0
374,Q,176,2006-07,4.0,4.0,4.0,4.0,4.0
375,Q,195,2006-07,4.0,4.0,4.0,3.0,3.0
376,Q,270,2006-07,4.0,4.0,4.0,4.0,4.0
377,Q,690,2006-07,4.0,4.0,4.0,3.0,4.0
378,Q,048,2006-07,3.0,1.0,1.0,3.0,4.0
379,Q,055,2006-07,3.0,3.0,3.0,3.0,3.0
380,Q,162,2006-07,4.0,4.0,4.0,4.0,4.0
381,Q,220,2006-07,4.0,4.0,4.0,4.0,4.0
382,Q,460,2006-07,4.0,1.0,3.0,4.0,4.0
383,K,102,2006-07,4.0,4.0,4.0,4.0,4.0
384,M,052,2006-07,3.0,3.0,3.0,3.0,3.0
385,M,172,2006-07,3.0,3.0,1.0,3.0,3.0
386,M,218,2006-07,3.0,3.0,1.0,3.0,3.0
387,M,278,2006-07,4.0,4.0,4.0,4.0,3.0
388,M,326,2006-07,3.0,3.0,3.0,3.0,3.0
389,M,328,2006-07,3.0,4.0,3.0,4.0,4.0
390,Q,082,2006-07,4.0,4.0,3.0,4.0,4.0
391,Q,117,2006-07,3.0,3.0,4.0,4.0,4.0
392,Q,136,2006-07,3.0,1.0,1.0,1.0,1.0
393,Q,138,2006-07,3.0,3.0,3.0,4.0,4.0
394,Q,144,2006-07,3.0,3.0,3.0,3.0,3.0
395,Q,163,2006-07,4.0,4.0,3.0,3.0,3.0
396,Q,164,2006-07,4.0,3.0,3.0,3.0,4.0
397,Q,231,2006-07,3.0,3.0,3.0,3.0,3.0
398,Q,268,2006-07,3.0,3.0,3.0,3.0,3.0
399,Q,425,2006-07,4.0,4.0,3.0,3.0,3.0
400,Q,435,2006-07,3.0,3.0,3.0,3.0,3.0
401,Q,687,2006-07,3.0,3.0,3.0,4.0,3.0
402,M,054,2006-07,3.0,1.0,1.0,3.0,1.0
403,M,076,2006-07,3.0,3.0,1.0,3.0,1.0
404,M,087,2006-07,1.0,1.0,1.0,3.0,3.0
405,M,145,2006-07,3.0,3.0,3.0,3.0,3.0
406,M,241,2006-07,3.0,3.0,3.0,3.0,3.0
407,Q,015,2006-07,3.0,3.0,3.0,3.0,3.0
408,Q,029,2006-07,3.0,4.0,3.0,3.0,4.0
409,Q,036,2006-07,4.0,3.0,3.0,3.0,3.0
410,Q,037,2006-07,4.0,4.0,3.0,3.0,3.0
411,Q,132,2006-07,4.0,4.0,4.0,4.0,4.0
412,Q,156,2006-07,3.0,3.0,1.0,1.0,3.0
413,Q,200,2006-07,3.0,3.0,1.0,3.0,3.0
414,R,007,2006-07,4.0,3.0,3.0,4.0,4.0
415,K,187,2006-07,4.0,4.0,4.0,4.0,4.0
416,M,008,2006-07,4.0,4.0,3.0,3.0,4.0
417,M,044,2006-07,1.0,1.0,1.0,1.0,3.0
418,M,084,2006-07,4.0,3.0,3.0,4.0,4.0
419,M,115,2006-07,4.0,3.0,4.0,4.0,4.0
420,M,197,2006-07,4.0,4.0,4.0,4.0,3.0
421,M,200,2006-07,3.0,3.0,3.0,4.0,3.0
422,M,499,2006-07,4.0,4.0,3.0,4.0,4.0
423,M,685,2006-07,4.0,4.0,4.0,4.0,4.0
424,Q,033,2006-07,3.0,3.0,3.0,3.0,3.0
425,Q,099,2006-07,4.0,4.0,4.0,4.0,4.0
426,Q,121,2006-07,4.0,4.0,4.0,4.0,4.0
427,R,029,2006-07,4.0,4.0,4.0,4.0,4.0
428,M,036,2006-07,3.0,3.0,3.0,4.0,4.0
429,M,046,2006-07,4.0,3.0,3.0,4.0,4.0
430,M,123,2006-07,4.0,4.0,4.0,4.0,4.0
431,M,185,2006-07,4.0,4.0,4.0,4.0,3.0
432,M,191,2006-07,4.0,4.0,4.0,4.0,4.0
433,M,242,2006-07,4.0,4.0,4.0,4.0,4.0
434,M,246,2006-07,1.0,1.0,1.0,1.0,3.0
435,M,286,2006-07,3.0,1.0,1.0,3.0,3.0
436,M,492,2006-07,3.0,4.0,4.0,4.0,3.0
437,X,151,2006-07,3.0,4.0,3.0,3.0,3.0
438,M,092,2006-07,3.0,3.0,3.0,4.0,4.0
